Name,NTF,Scattering,Constructors,Methods,LoCs,VP,Tangling,DT_Max,DT_Min,NGOr_Max,NGXOr_Max,BF_Max,NO,NTop,NLeaf,NVCF,NomesFeatures
ArgoUML/ImportClassLoader.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ImportCommon.java,1,12,1,26,399,31,4,2,2,0,0,0,1,0,1,X, ; COGNITIVE
ArgoUML/ImporterManager.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/InitProfileSubsystem.java,1,12,1,26,399,31,4,2,2,0,0,0,1,0,1,X, ; COGNITIVE
ArgoUML/LanguageComboBox.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ListSet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,
ArgoUML/LoadSwingWorker.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/LookAndFeelMgr.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/Main.java,8,337,80,587,4775,959,124,3,2,0,0,0,8,0,8,X, ; LOGGING ; COGNITIVE ; ACTIVITYDIAGRAM ; COLLABORATIONDIAGRAM ; DEPLOYMENTDIAGRAM ; SEQUENCEDIAGRAM ; STATEDIAGRAM ; USECASEDIAGRAM
ArgoUML/MDRModelImplementation.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/MemberList.java,2,211,70,444,3311,761,4,2,2,0,0,0,2,0,2,X, ; LOGGING ; COGNITIVE
ArgoUML/ModeAddToDiagram.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ModeCreateAssociationClass.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ModeCreateGraphEdge.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ModeCreateMessage.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ModelAccessModelInterpreter.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ModelEventPumpMDRImpl.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ModelManagementHelperMDRImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,
ArgoUML/ModelMemberFilePersister.java,3,251,72,481,3568,813,57,3,2,0,0,0,3,0,3,X, ; LOGGING ; ACTIVITYDIAGRAM ; STATEDIAGRAM
ArgoUML/ModuleLoader2.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/MultiEditorPane.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/Notation.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/NotationComboBox.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/NotationProvider.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/NotationProviderFactory2.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/OldZargoFilePersister.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/OperationNotationJava.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/PathItemPlacement.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/PerspectiveConfigurator.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/PerspectiveManager.java,5,256,74,500,3768,834,44,3,2,0,0,0,5,0,5,X, ; LOGGING ; COGNITIVE ; COLLABORATIONDIAGRAM ; SEQUENCEDIAGRAM ; STATEDIAGRAM
ArgoUML/PGMLStackParser.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/PrivateHandler.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ProfileCodeGeneration.java,1,40,2,40,363,51,36,3,3,0,0,0,1,0,1,X, ; DEPLOYMENTDIAGRAM
ArgoUML/ProfileConfiguration.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ProfileConfigurationFilePersister.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ProfileGoodPractices.java,1,8,2,13,152,26,3,3,3,0,0,0,1,0,1,X, ; SEQUENCEDIAGRAM
ArgoUML/ProfileLoader.java,2,211,70,444,3311,761,4,2,2,0,0,0,2,0,2,X, ; LOGGING ; COGNITIVE
ArgoUML/ProfileManagerImpl.java,2,211,70,444,3311,761,4,2,2,0,0,0,2,0,2,X, ; LOGGING ; COGNITIVE
ArgoUML/ProfileMeta.java,1,12,1,26,399,31,4,2,2,0,0,0,1,0,1,X, ; COGNITIVE
ArgoUML/ProfileUML.java,1,12,1,26,399,31,4,2,2,0,0,0,1,0,1,X, ; COGNITIVE
ArgoUML/ProjectBrowser.java,2,211,70,444,3311,761,4,2,2,0,0,0,2,0,2,X, ; LOGGING ; COGNITIVE
ArgoUML/ProjectImpl.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/PropPanel.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/PropPanelClassifierInState.java,1,34,3,41,538,61,38,3,3,0,0,0,1,0,1,X, ; ACTIVITYDIAGRAM
ArgoUML/PropPanelObjectFlowState.java,1,34,3,41,538,61,38,3,3,0,0,0,1,0,1,X, ; ACTIVITYDIAGRAM
ArgoUML/PropPanelPartition.java,1,34,3,41,538,61,38,3,3,0,0,0,1,0,1,X, ; ACTIVITYDIAGRAM
ArgoUML/PropPanelStimulus.java,2,27,4,34,339,51,21,3,3,0,0,0,2,0,2,X, ; COLLABORATIONDIAGRAM ; SEQUENCEDIAGRAM
ArgoUML/PropPanelSubmachineState.java,2,52,3,63,656,83,57,3,3,0,0,0,2,0,2,X, ; ACTIVITYDIAGRAM ; STATEDIAGRAM
ArgoUML/PropPanelTagDefinition.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/PropPanelTransition.java,1,18,0,22,118,22,19,3,3,0,0,0,1,0,1,X, ; STATEDIAGRAM
ArgoUML/ReaderModelLoader.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ResolvedCritic.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ResourceLoaderWrapper.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ResourceModelLoader.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/SaveGraphicsManager.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/SAXParserBase.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/SelectionActionState.java,1,34,3,41,538,61,38,3,3,0,0,0,1,0,1,X, ; ACTIVITYDIAGRAM
ArgoUML/SelectionClass.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/SelectionGeneralizableElement.java,1,40,2,40,363,51,36,3,3,0,0,0,1,0,1,X, ; DEPLOYMENTDIAGRAM
ArgoUML/SelectionNodeClarifiers2.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/SelectionStereotype.java,1,40,2,40,363,51,36,3,3,0,0,0,1,0,1,X, ; DEPLOYMENTDIAGRAM
ArgoUML/SequenceDiagramGraphModel.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/SequenceDiagramLayer.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/SequenceDiagramRenderer.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ShortcutMgr.java,8,337,80,587,4775,959,124,3,2,0,0,0,8,0,8,X, ; LOGGING ; COGNITIVE ; ACTIVITYDIAGRAM ; COLLABORATIONDIAGRAM ; DEPLOYMENTDIAGRAM ; SEQUENCEDIAGRAM ; STATEDIAGRAM ; USECASEDIAGRAM
ArgoUML/SnoozeOrder.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/SourcePathTableModel.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/StartBrowser.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/StartCritics.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/StateDiagramGraphModel.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/StateDiagramRenderer.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/StateMachinesFactoryMDRImpl.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/StateMachinesHelperMDRImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,
ArgoUML/StreamModelLoader.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/StylePanel.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/StylePanelFig.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/SwingWorker.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TabChecklist.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TabConstraints.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TabDiagram.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TableModelCritics.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TabProps.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TabResults.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TabSrc.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TabStyle.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TabTaggedValues.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TabTaggedValuesModel.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TabText.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/TempFileUtils.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ToDoByDecision.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ToDoByGoal.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/ToDoByOffender.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
