file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src,utils.ModuleReflectionUtil,class,9,16,1,0,33,78,13,10,12,0,0,0,12,178
src,com.puppycrawl.tools.checkstyle.checks.modifier.redundantmodifier.InputRedundantModifierStaticMethodInInterface,interface,0,1,1,0,0,0,1,0,1,0,0,0,0,9
src,com.puppycrawl.tools.checkstyle.checks.coding.modifiedcontrolvariable.NestedClass,class,1,26,1,0,2,4,3,1,0,3,0,0,2,94
src,com.puppycrawl.tools.checkstyle.checks.naming.methodname.Outer,class,1,8,1,0,0,28,7,5,0,0,0,0,0,44
src,com.puppycrawl.tools.checkstyle.checks.coding.multiplevariabledeclarations.InputMultipleVariableDeclarations,class,0,6,1,0,0,3,3,0,0,7,0,0,0,31
src,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationInvalidAnonymousClassIndent,class,0,4,1,0,2,1,1,1,0,0,0,0,1,27
src,checks.coding.PackageDeclarationCheck,class,3,9,4,0,3,9,7,7,0,2,1,1,0,80
src,com.puppycrawl.tools.checkstyle.utils.blockcommentposition.InputBlockCommentPositionOnConstructor,class,0,3,1,0,0,3,3,2,0,0,0,0,0,19
src,testset.annotation.AnnotationLocationCheckTest,class,5,9,3,0,8,36,9,8,0,0,0,0,6,164
src,com.puppycrawl.tools.checkstyle.checks.metrics.classdataabstractioncoupling.inputs.a.aa.AAClass,class,0,0,1,0,0,0,0,0,0,0,0,0,0,3
src,com.puppycrawl.tools.checkstyle.grammar.InputVararg,class,0,1,1,0,0,0,1,1,1,0,0,0,0,10
src,checks.indentation.IndexHandler,class,4,3,2,0,1,3,3,3,0,0,0,0,0,52
src,testset.coding.EmptyStatementCheckTest,class,5,3,3,0,8,3,3,2,0,0,0,0,1,67
src,testset.modifier.InterfaceMemberImpliedModifierCheckTest,class,1,1,3,0,0,0,1,0,0,0,0,0,0,403
src,com.puppycrawl.tools.checkstyle.checks.metrics.classfanoutcomplexity.InputMultiDimensionalArray,class,3,4,1,0,0,6,4,3,0,10,8,0,0,38
src,com.puppycrawl.tools.checkstyle.checks.whitespace.nowhitespacebefore.InputNoWhitespaceBeforeAtStartOfTheLine,class,1,2,1,0,0,1,2,1,0,0,0,0,0,13
src,com.puppycrawl.tools.checkstyle.checks.metrics.classfanoutcomplexity.InputClassFanOutComplexityPackageName,interface,1,2,1,0,0,1,2,2,0,0,0,0,0,5
src,com.puppycrawl.tools.checkstyle.checks.modifier.redundantmodifier.InputRedundantModifierFinalInInterface,interface,0,4,1,0,0,0,1,0,0,1,0,0,0,14
src,com.puppycrawl.tools.checkstyle.grammar.java8.InputLambda4,class,1,1,1,0,6,0,1,1,0,1,0,1,2,11
src,checks.SuppressWarningsHolder,class,6,89,4,0,40,125,18,14,8,7,1,5,12,401
src,utils.CheckUtil,class,5,85,1,0,37,134,17,13,16,10,0,10,16,408
src,com.puppycrawl.tools.checkstyle.checks.design.hideutilityclassconstructor.InputHideUtilityClassConstructorPrivate,class,0,2,1,0,0,0,2,1,1,1,0,1,0,6
src,checks.imports.RedundantImportCheck,class,4,24,4,0,17,9,6,5,1,6,3,3,5,169
src,com.puppycrawl.tools.checkstyle.checks.metrics.classdataabstractioncoupling.InputClassDataAbstractionCouplingExcludedPackagesDirectPackagesHidden,class,4,0,1,0,0,0,0,0,0,5,5,0,0,16
src,checks.regexp.MultilineDetector,class,3,17,1,0,23,0,5,2,0,6,2,2,0,113
src,com.puppycrawl.tools.checkstyle.grammar.java8.InputLambda3,class,2,3,1,0,5,1,3,3,2,1,0,1,2,17
src,testset.imports.AvoidStarImportCheckTest,class,5,7,3,0,8,21,7,6,0,0,0,0,4,104
src,utils.JavadocUtil,class,14,62,1,0,34,136,17,14,16,6,0,6,21,363
src,com.puppycrawl.tools.checkstyle.checks.javadoc.javadocpackage.InputJavadocPackageBadCls,class,0,1,3,0,0,0,1,0,0,0,0,0,0,5
src,com.puppycrawl.tools.checkstyle.checks.outertypefilename.InputOuterTypeFilename3,class,0,0,1,0,0,0,0,0,0,0,0,0,0,4
src,checks.AvoidEscapedUnicodeCharactersCheck,class,3,32,4,0,20,77,15,8,0,9,0,5,5,326
src,checks.coding.SuperFinalizeCheck,class,1,2,5,0,0,1,2,1,0,0,0,0,0,52
src,checks.indentation.PrimordialHandler,class,3,4,2,0,0,6,4,3,0,0,0,0,0,51
src,testset.checkstyle.TreeWalkerTest,class,14,7,3,0,28,15,7,6,0,1,1,0,9,637
src,com.puppycrawl.tools.checkstyle.checks.imports.customimportorder.InputCustomImportOrder_NoImports,class,0,0,1,0,0,0,0,0,0,0,0,0,0,3
src,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationArrays,class,3,1,1,0,0,0,1,1,0,4,0,4,0,65
src,checks.javadoc.SingleLineJavadocCheck,class,4,8,5,0,10,15,6,3,0,1,1,1,2,101
src,com.puppycrawl.tools.checkstyle.checks.coding.requirethis.InputRequireThisValidateOnlyOverlappingTrue,class,0,106,1,0,14,1444,72,9,11,10,0,1,4,378
src,com.puppycrawl.tools.checkstyle.checks.newlineatendoffile.InputNewlineAtEndOfFileCr,interface,0,0,1,0,0,0,0,0,0,0,0,0,0,15
src,com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableLeavingSlistToken,class,1,13,1,0,3,3,3,0,0,2,0,1,3,44
src,api.Comment,class,1,8,1,0,2,0,8,8,0,5,0,0,1,104
src,com.puppycrawl.tools.checkstyle.checks.suppresswarningsholder.InputSuppressWarningsHolder5,class,4,6,1,0,1,10,5,4,2,0,0,0,0,37
src,com.puppycrawl.tools.checkstyle.checks.sizes.parameternumber.MyEnum1,enum,1,12,1,0,0,36,9,1,0,15,4,8,0,200
src,com.puppycrawl.tools.checkstyle.javadocpropertiesgenerator.InputJavadocPropertiesGeneratorNotClass,interface,0,0,1,0,0,0,0,0,0,0,0,0,0,3
src,com.puppycrawl.tools.checkstyle.checks.blocks.leftcurly.InputLeftCurlyEolSwitch,class,0,11,1,0,0,1,2,1,0,0,0,0,0,63
src,com.puppycrawl.tools.checkstyle.grammar.InputRegressionJavaEnum2,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,3
src,com.puppycrawl.tools.checkstyle.checks.sizes.executablestatementcount.InputExecutableStatementCount,class,0,44,1,0,2,36,7,7,0,0,0,0,17,77
src,checks.annotation.MissingDeprecatedCheck,class,4,25,4,0,15,4,5,4,0,10,3,10,5,211
src,testset.metrics.ClassFanOutComplexityCheckTest,class,5,12,3,0,7,66,12,11,0,0,0,0,10,249
src,testset.api.FileTextTest,class,4,6,2,0,12,6,4,3,0,0,0,0,1,91
src,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationValidDotIndent,class,0,1,1,0,2,0,1,1,0,0,0,0,1,71
src,com.puppycrawl.tools.checkstyle.filters.suppresswithnearbycommentfilter.InputSuppressWithNearbyCommentFilterById,class,0,0,1,0,0,0,0,0,0,5,0,1,0,9
src,utils.TokenUtil,class,3,34,1,0,35,74,13,12,12,5,0,5,14,220
src,testset.checks.OuterTypeFilenameCheckTest,class,5,9,3,0,6,36,9,8,0,0,0,0,6,114
src,com.puppycrawl.tools.checkstyle.checks.whitespace.parenpad.InputParenPadTryWithResources,class,0,1,1,0,0,0,1,0,0,0,0,0,0,11
src,com.puppycrawl.tools.checkstyle.checks.design.onetoplevelclass.NativeTest,class,2,5,2,0,2,6,4,4,0,0,0,0,0,40
src,com.puppycrawl.tools.checkstyle.checks.design.visibilitymodifier.InputVisibilityModifierGenerics,class,3,1,1,0,2,0,1,1,0,24,24,0,3,52
src,com.puppycrawl.tools.checkstyle.checks.imports.customimportorder.InputCustomImportOrderDefault2,class,0,0,1,0,0,0,0,0,0,0,0,0,0,23
src,com.puppycrawl.tools.checkstyle.checks.coding.requirethis.InputRequireThisCaseGroup,class,0,12,1,0,0,0,3,3,0,1,0,0,0,38
src,com.puppycrawl.tools.checkstyle.checks.modifier.interfacememberimpliedmodifier.InputInterfaceMemberImpliedModifierMethodsOnInterfaceNested,interface,0,8,1,0,0,28,8,4,2,0,0,0,0,17
src,com.puppycrawl.tools.checkstyle.checks.whitespace.genericwhitespace.InputGenericWhitespaceDefault,class,2,9,1,0,3,28,8,6,2,0,0,0,2,69
src,com.puppycrawl.tools.checkstyle.checks.header.header.InputHeader,class,0,0,1,0,0,0,0,0,0,0,0,0,0,1
src,testset.coding.MissingCtorCheckTest,class,4,3,3,0,8,3,3,2,0,0,0,0,1,50
src,testset.checkstyle.AuditEventDefaultFormatterTest,class,2,0,1,0,0,0,0,0,0,0,0,0,0,124
src,checks.coding.FallThroughCheck,class,3,53,4,0,30,120,17,9,0,5,2,2,1,379
src,com.puppycrawl.tools.checkstyle.checks.blocks.rightcurly.InputRightCurlyTryResource,class,0,5,1,0,0,0,1,0,0,0,0,0,0,37
src,com.puppycrawl.tools.checkstyle.checks.imports.customimportorder.InputCustomImportOrder_OverlappingPatterns,class,0,0,1,0,0,0,0,0,0,0,0,0,0,29
src,com.puppycrawl.tools.checkstyle.checks.whitespace.parenpad.InputParenPadForWhitespace,class,0,14,1,0,0,1,2,0,0,0,0,0,0,46
src,testset.internal.utils.XdocUtil,class,4,18,1,0,25,10,5,4,4,1,1,1,5,135
src,testset.internal.testmodules.TestLoggingReporter,class,1,3,2,0,0,0,3,3,0,1,0,0,0,38
src,testset.checks.SuppressWarningsHolderTest,class,14,15,3,0,32,78,13,10,2,0,0,0,5,381
src,checks.sizes.MethodCountCheck,class,6,28,4,0,16,86,17,10,0,15,5,6,1,259
src,test.resources.com.puppycrawl.tools.checkstyle.checks.annotation.annotationonsameline.InputAnnotationOnSameLineCheck2,class,4,0,1,0,0,0,0,0,0,5,0,0,0,24
src,api.DetailNode,interface,1,7,1,0,0,21,7,0,0,0,0,0,0,68
src,testset.checks.FinalParametersCheckTest,class,4,8,3,0,5,28,8,7,0,0,0,0,7,128
src,com.puppycrawl.tools.checkstyle.checks.blocks.rightcurly.EmptyInterface,interface,0,18,1,0,1,6,4,2,1,0,0,0,1,55
src,checks.imports.ImportControlCheck,class,8,26,4,0,17,5,7,7,0,6,3,3,6,167
src,com.puppycrawl.tools.checkstyle.checks.metrics.booleanexpressioncomplexity.InputBooleanExpressionComplexity,class,2,21,1,0,0,43,9,9,0,11,7,7,0,69
src,testset.grammars.GeneratedJavaTokenTypesTest,class,2,1,1,0,2,0,1,1,0,0,0,0,0,256
src,testset.annotation.PackageAnnotationCheckTest,class,4,2,3,0,2,1,2,1,0,0,0,0,0,71
src,com.puppycrawl.tools.checkstyle.checks.javadoc.abstractjavadoc.InputAbstractJavadocNonTightHtmlTags2,class,0,8,1,0,0,22,8,0,0,5,0,0,0,77
src,com.puppycrawl.tools.checkstyle.treewalker.InputTreeWalkerSuppressionCommentFilter,class,0,0,1,0,0,0,0,0,0,3,0,0,0,10
src,com.puppycrawl.tools.checkstyle.checks.whitespace.emptylineseparator.InputEmptyLineSeparatorImports,class,0,0,1,0,0,0,0,0,0,0,0,0,0,23
src,checks.javadoc.JavadocParagraphCheck,class,3,34,5,0,15,41,10,3,0,3,3,3,11,208
src,api.JavadocTagInfo,enum,4,40,1,0,15,373,30,29,3,7,0,2,12,593
src,testset.api.FileSetCheckTest,class,5,8,4,0,0,12,8,5,2,3,0,3,0,91
src,com.puppycrawl.tools.checkstyle.checks.whitespace.emptyforinitializerpad.InputEmptyForInitializerPadDefaultConfig,class,0,14,1,0,0,1,2,0,0,0,0,0,0,46
src,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationAnonymousClassInMethod,class,0,2,1,0,2,1,1,0,0,0,0,0,0,25
src,com.puppycrawl.tools.checkstyle.checks.regexp.regexpsinglelinejava.InputRegexpSinglelineJavaSemantic,class,3,29,1,0,2,91,14,10,0,3,0,1,0,173
src,com.puppycrawl.tools.checkstyle.checks.whitespace.typecastparenpad.InputTypecastParenPadWhitespaceAround,class,1,4,1,0,2,3,3,1,0,0,0,0,1,27
src,com.puppycrawl.tools.checkstyle.main.InputMainInner,class,0,0,1,0,0,0,0,0,0,0,0,0,0,6
src,checks.CheckUtils,class,2,50,1,0,31,89,14,10,13,3,0,3,12,299
src,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.Foo,class,4,6,4,0,0,15,5,3,0,0,0,0,0,62
src,com.puppycrawl.tools.checkstyle.checks.whitespace.nowhitespacebefore.SpecialCasesInForLoop_NoWhitespaceBeforeDot,class,3,43,1,0,9,459,26,9,1,8,0,0,0,249
src,test.resources.com.puppycrawl.tools.checkstyle.asttreestringprinter.InputAstTreeStringPrinterJavaAndJavadoc,class,0,0,1,0,0,0,0,0,0,0,0,0,0,6
src,com.puppycrawl.tools.checkstyle.checks.imports.importorder.InputImportOrder_Above,class,0,0,1,0,0,0,0,0,0,0,0,0,0,17
src,com.puppycrawl.tools.checkstyle.checks.imports.importorder.InputImportOrder_NoFailureForRedundantImports,class,0,0,1,0,0,0,0,0,0,0,0,0,0,3
src,com.puppycrawl.tools.checkstyle.utils.blockcommentposition.InputBlockCommentPositionOnEnumMember,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,12
src,testset.coding.FinalLocalVariableCheckTest,class,5,19,3,0,7,153,18,17,0,0,0,0,16,238
src,com.puppycrawl.tools.checkstyle.checks.design.hideutilityclassconstructor.InputHideUtilityClassConstructorPublic,class,0,2,1,0,0,0,2,2,1,1,0,1,0,6
