"configuration","trace","description"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","","testWithdrawUserAuthenticatedFalse(testset.ATMUserInterfaceTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at org.junit.Assert.fail(Assert.java:86)","testPromptForDepositAmountWithInvalidInput(testset.DepositTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at org.junit.Assert.fail(Assert.java:86)","testPromptForDepositAmountWithValidInput(testset.DepositTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:false","	at org.junit.Assert.fail(Assert.java:86)","printLogTest(testset.LoggerTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at org.junit.Assert.fail(Assert.java:86)","testCreateTransaction(testset.ATMTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testToMakeLogging(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testTotalDeposit(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testToMakeLogout(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWhithDraw(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testBalance(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testDepositUserAuthenticatedFalse(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWhithDrawAllValue(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testIsUserExited(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testgGetCurrentAccountNumber(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testDeposit(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWithdrawUserAuthenticatedFalse(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at org.junit.Assert.fail(Assert.java:86)","testExecute(testset.WithdrawalTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testTotalDeposit(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWhithDraw(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testBalance(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testDepositUserAuthenticatedFalse(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","","testWhithDrawAllValue(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testDeposit(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at testset.ATMUserInterfaceTest.tearDown(ATMUserInterfaceTest.java:31)","testWithdrawUserAuthenticatedFalse(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:falseBALANCE_INQUIRY:falseADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at org.junit.Assert.fail(Assert.java:86)","printLogTest(testset.LoggerTest)"
