Vending Machine,Yakindu SCT models,,,,
Video On Demand,Java,,,,
video.js,Javascript,,,,
Warehouse,UML class diagrams,,,,
Washing Machine,UML class diagram,,,,
WebStore,Java,,,,
Wget,Feature model,,,,
Wiki engines,XML file,,,,
Wingsoft Financial Management System,"Feature model (FM of each product, like a configuration with the relations between the features) and Source code",,,,
WV CCHIT Health,,,,,
x264 Library,Feature model,,,,
Xfig System,C,,,,
ZipMe,Java,,,,
,Detailed type of artefact,,,,
